name,description,coordinates,image_url,category,rating,city,country,website,address
Kronborg Castle,"16th-century castle with banqueting hall & royal chambers, the model for Elsinore in Hamlet.","56.039332,12.621799",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ4-Xkiw0xUkYRNkDxwc3DAcI/photos/AWYs27wlSJVNDsDoc21Iii8gSyju_pl5XtXLIsVnlt33e8H0XMsZKMshHhHzIjscrfMZFvFr0avnpjFrPrdrXVyW4iv34cr1SEpLTdLvJ4Dk7WDcDky3OBvVAe_grJkzvba1xjYZxyRii7Vg6GdfjJj0HkLmRc-R-0JUfzfd&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Place,4.6,Helsingør,Denmark,https://www.kronborg.dk/,"Kronborg, 3000 Helsingør, Denmark"
Perito Moreno Glacier,"Massive glacier with a nearby visitor center offering boat tours, boardwalks, viewpoints & a cafe.","-50.496729699999996,-73.1376612",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJw1B4IWPJpL0Rvnl0r--igaQ/photos/AWYs27xV5PhMT5UmAUjSJDK0IfvfooIg6ENpyUqe3ATkA-cD_XMTStlJnwVykkGgQJwnTkVtn3edkZSjDDWxuik-vTHJ_Do_q-IgzhB8wESDjhhV7I7ySntaBqttVb9nJJuJFNMMiJ953-y9McgYuvCrQ1eCSeQJkcle63_0&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,,4.9,Santa Cruz Province,Argentina,,"Perito Moreno Glacier, Santa Cruz Province, Argentina"
Tokyo Tower,"Reminiscent of the Eiffel Tower, this landmark features observation areas & other attractions.","35.6585805,139.7454329",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJCewJkL2LGGAR3Qmk0vCTGkg/photos/AWYs27zE04vCN2eRNAKJImMZq5ADf1mUv1xYY1NUEfmIkqkXoDeYep3R3R1ilL5EPxALZZA-tIKQEqQOfSeOTo6m5wP5ibW1pNZANW7_G0Cx-sFPNdgx6Sx4cFRE40o_MhS03pDskQ2_pzY4lDm53YBjdx6yiZQFO5gcwpk7&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Observation Deck,4.5,Minato City,Japan,https://www.tokyotower.co.jp/,"4-chōme-2-8 Shibakōen, Minato City, Tokyo 105-0011, Japan"
Thingvellir National Park,"Protected beauty spot with dramatic rocky scenery, lakes & ridges plus a national historical shrine.","64.2821725,-21.076449099999998",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJe2kT-x-B1kgR8mKSB4tsdWs/photos/AWYs27zPUZrS9E6F-KTOkEQ8XxQXDGDLzCUOYQEkJkRvO6Vv2Lr7qqxPTZH_TB6YMYjPN-uTSXzScebghrm_nf3_6kKIq2HJf-JRxtEGj5iNFT1WdKK6WO7xckDrleEeuxYt5nDunEiIpfp2a4k75uIXr8uzhUuMSevTImIw&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,National Park,4.7,Selfoss,Iceland,https://www.thingvellir.is/,"806 Selfoss, Iceland"
Ranakpur Jain Temple,"White-marble temple with grand pillars, halls & cupolas, plus intricate carvings of deities.","25.115658,73.47287349999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJJVCnvg4gaDkRJFU161sf1d4/photos/AWYs27zLPFiRIIBo5MeP7DSAhngVrrHu-dmumQLMjfXafjh0q1R_rICf9yvB8HlzDoD3Iv0cq8WCjfFb618aMt3by7RbAn3l970scI_kYFRjioHfRCpaZYJpTKT7W7oZ6d16YqopuhUAprmD6_4VRNccVBhany9HuWmieMzf&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Place of Worship,4.7,Sadri,India,http://www.anandjikalyanjipedhi.org/,"Ranakpur Rd, Desuri, Sadri, Ranakpur, Rajasthan 306702, India"
Ilulissat Icefjord,"Largest town in western Greenland & popular tourist destination, with a notable ice fjord nearby.","69.0933861,-49.430733599999996",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJGfeHLMg_7U4Rn6zZLhgAX18/photos/AWYs27yhC8O-SCU-G-qIIun01rrrqLj8IbqotPEYMK4xCvR4tI8khDZS99tO1gBgVfR5zl42KS6tYt7vFBen6UbsmvYZv7PAgXN95sFuXTYsTfb-eT3dSDluqpz_odXxdL78yq-5zfJrLlcBB7K_NFueKb8nK_K0bF69ityi&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Tourist Attraction,4.6,Avannaata,Greenland,,Greenland
Mir Castle,"Renovated 16th-century fortification on 27 hectares with a castle museum, an eatery & souvenir shop.","53.4511897,26.4729219",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJBdoOrqw72UYRiIAMYkAgyvY/photos/AWYs27ysD-IgPE9Uhq132_tIYFDIIBLpP-Ana-eAjMmqZFQXsWbGw-wxQUsobkTABpn1KtCboLS3PUdmouc-3tb_ArFYPP4NkP3ksJHxxyyz1jcWuEgLjUONvqk9OcT8mzKMdA3gg5iz3X8Unkeisw5-1FlgEJPHV3ABJ2be&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Museum,4.8,Mir,Belarus,http://www.mirzamak.by/,"Čyrvonaarmiejskaja vulica 2, Mir, Hrodna Region 231444, Belarus"
Serengeti National Park,"Vast nature reserve best known for its annual  wildebeest migration, with lions, elephants & rhino.","-2.3333333,34.8333333",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ0cbagNbNMhgRRTnrnfNXoS4/photos/AWYs27xd6ukv10p99DIibb8s-DklhXiX80l-UpFBwbc-MbLLNmY5jPzUpnAc4xKsZdyxdWoKZDIoKQmBLX0BNsKoGnnP3cQlKQXruHSqlAdf-2LkDeCr_lRy5r4muE26hG7Sj1MoIcVZNKB2jnVCJCxDwfcpGRU8So4s9igj&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,National Park,4.8,,Tanzania,https://www.serengetiparktanzania.com/,Tanzania
Naqsh-e Jahan (Shah) Square,,"32.657306999999996,51.6775223",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ4aGf1H81vD8RxoJO45h0Zes/photos/AWYs27xOAxSyyBUfTwl4iDWJiR2bapm5rE_D6ifvWYOTD3eRedM4AL1ndfKETuDzDBOwKX0iurjfUYFyOJycSevIwMe-OuYONXHKEkfXlL8kZGvi68kJIVadFxRFXhCLcAVjHDgK_yKXjF2O6oOC5MNypxjXcejkbiM6BvDX&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Tourist Attraction,4.8,اصفهان,Iran,,استان اصفهان، اصفهان، میدان، Iran
Khajuraho Western Group of Temples,A landscaped complex of ornate 11th-century temples built during the Chandela dynasty.,"24.8530929,79.92157069999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJhXKEjAHmgjkRVt9paBTpImo/photos/AWYs27wmGciulZyd5c-_op-TIO8Sn3QzTPOvuVxuxIg1z1ko5DTSi2oz7c-_uSlCiYy_TrR_SB6FTnhWTYdZ11x2uXymyhZGL3ahTVWdTyBOvWDBK86YNdjXH9xAKHv6FXMy97TOcXi5QyVtA1yzMEA04HlzmL_JVTB4EJWY&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Hindu Temple,4.7,Khajuraho,India,,"Sevagram, Khajuraho, Madhya Pradesh 471606, India"
"Darvaza Gas Crater - ""Door to Hell""",,"40.252484599999995,58.4395841",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJBUP0JgizYj8RPzly5ltbmYA/photos/AWYs27zENsbkCQcbxLhuJQ7p1VwdDbccCqj2GIItBa0mkimn-iAgC59Bt7tqUEL9404CYzuIx5U4MarJhAzMI43spKBreIiF0cDLMdKBJGuyvuki4a0DbQmsYQz7mlIJ5N0jAz_ecogPut3g16sFuyxbGgOW6BUMOmVqwPL7&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Tourist Attraction,4.4,Derweze,Turkmenistan,,"Derweze, Turkmenistan"
Sossusvlei UNESCO Site by About Africa Co,,"-24.7299883,15.322155500000001",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJr3lDvzYMchwRU8LZGq4aEME/photos/AWYs27xSb5o46MgJUFTdBdAs7Fru6ht42Ej5-WdzDsrOhu1tVXmJjei-Ukl9ijOrr7xfYoJv94i9d95TuX6JS553uiuglTELOWOt31BbU2Z3zgL0unMjIaiXj8Y9q42Utss3IHzakLag6FnRRFm3wkpipHVBdsc-wO4SM825&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Tourist Attraction,4.8,Sesriem,Namibia,http://aboutafrica.co/,"Namib-Naukluft National Park,, Sesriem, Namibia"
Kazan Kremlin,"Hilltop complex of fortified palaces & monuments erected over 1,000 years, now serving as museums.","55.799356200000005,49.105998799999995",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJU65BmSGtXkERfc65lagmAVs/photos/AWYs27wq9autXGSsmzmETl9Lgavc35OL__Sj4XYhD741zsG4bKfbM9tUs2Ni3UIyJ-5qmOXdejlia6uQeRHBABafEqTzANa5gqxRFFc2PWg3T9YhKdJmYs66VxWWO0OGg-JFISvHx6TdEoYMB4orVfAUMeQEZELMJ6WLyYIO&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Museum,4.9,Kazan,Russia,https://kazan-kremlin.ru/,"Kazan, Republic of Tatarstan, Russia, 420014"
"Virupaksha Temple, Hampi","A UNESCO Heritage Site, this 7th-century Hindu temple has a gateway tower, courtyards & dining hall.","15.335133299999999,76.45865289999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJV_KDB_F_tzsRDerWkB1XnEE/photos/AWYs27wFcmS4vRbJXGYfd7WVKqxXZa-BFgKFweyG8XUO8zzUumrD3OslaYOf5241-vWq6MBoTDCMVSQohIjQrL_bR9sKU6xtBh8Q52cFMZcUC5O4qr7SNnW7fxvUz7kZTH3E3-WzpjohhEkPfV3RToVWQT4RH0580R37wRfk&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Hindu Temple,4.7,Hampi,India,https://vijayanagara.nic.in/tourist-place/virupaksha-temple/,"Hampi, Karnataka 583239, India"
Ancient Ruins of Babylon,,"32.5418833,44.4209342",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ_zUJRD79WBURriOIgBYcn6k/photos/AWYs27y-0mr_kqseB4ZDq60ZPpinqcao5tRtv9mDfmnv_U1IuvdHwGIdL6-xFAFlil5ON2Nzx-MXE_TMpBnhnpR4w_FBVj_hiX7eWboQA1f6-qo6zGF7ZGNYaCk-QfMvwY43MovQmAKmhZclu_rid6JbfsoKKI0anaNjeQMX&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.5,سنجار,Iraq,,GCRC+Q93، سنجار، بابل محافظة، Iraq
Milford Sound / Piopiotahi,,"-44.6414024,167.8973801",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ4UlLuk3g1akRAN5kq4bvACo/photos/AWYs27xyaJM_pd0-90UGRS4aMbBHB0FxU3etWYl_fvAaP0rA-s0HTGsRBtYJFeWLEpQ6XftyY3UpXZMYfN0VnIT39qA87MmoUZi_KbZuYQAjiO-9CNelvK7lGYwumu7-ODOvi015EoRwpiujkkVf6svullHo7k-gJctCxnkw&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,,4.8,Southland,New Zealand,,"Milford Sound / Piopiotahi, Southland, New Zealand"
Buckingham Palace,Visitors can tour the palace's opulent private and state rooms or watch the changing of the guard.,"51.501363999999995,-0.14189",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJtV5bzSAFdkgRpwLZFPWrJgo/photos/AWYs27yWHkpxJqffV4AhdKQ4OvnHYasjYg6-Odgx-OaiEcxl7K3Le9OKDi8_zQXB3WL9yVllEQTMO72d0VFmBcjHXQgs3aHS6s7TzXVnmX7rAgy7p0jPMsZDWgDK_5SRbXgoq0Ufl5i-1WbmQiC4JiUfRmfhxxy3QRtDKefa&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Cultural landmark,4.5,England,United Kingdom,https://www.rct.uk/visit/buckingham-palace,"London SW1A 1AA, UK"
Çatalhöyük,Important archaeological site of a large neolithic settlement with wall paintings inside the houses.,"37.6664372,32.8256599",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJLVGO7D6n0BQReRtSrypsOpY/photos/AWYs27y83iaZI4HDB_6hdoJVj8cYDDOrE5FVadnd9XHF7v8zGBV0F1W80VYZY2ZkzI-gmil8Gf49YrY9k6vCRadt36nNrctQqkIVEULFkKLGVZL4c1NBmtNjbtyrIO6I8mbKRoSrqxUgtgtYaO9wfY0Lh8s16fbszwlYSv1l&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Museum,4.6,Konya,Türkiye,http://www.catalhoyuk.com/tr/sit,"Küçükköy, Çatalhöyük Yolu, 42500 Çumra/Konya, Türkiye"
The Great Backwaters,"This sprawling network of scenic lakes, rivers & canals attracts nature lovers on houseboats.","9.5259641,76.3579037",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJvwe3yg6ECDsRk6vGQJxg0Y4/photos/AWYs27wxvoBSsrAI2unwlh6Fh_s3l4FrzQsPkqlMj6JVwCsAyRx5MVRvh00c3cHHkIO5Hh3iTaa6B8BeQSVOqBDAdM2c5RRkfgChhKh4mjgK58GcTcgAsMsF5XIycIxsgQHSMveeJ1liPLNNMw1sI2LyMEg5U89iIgq2r_TO&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Park,4.5,Vembanad,India,,"G9G5+95J, Lake, Punnamada, Vembanad, Aryad South, Kerala 688521, India"
Hagar Qim Temple,Pre-historic hilltop temple dating from 3200 BC with ruined apses & a visitor center to explore.,"35.8277061,14.441766399999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJeaxoR89QDhMRi6GYXIptHTw/photos/AWYs27xGv_u4HyvSJNTB2Mxc0Jl3AbYVRTvcnJnZdpIDWWDDKsR82yNbuyJGV1hsL5Vnz1Oo_YTahJkIUKnKoM9SyeAGw7CTsBkFxPKsVsUgTv3j0-6X93mNmSJK2bHTndxGWYKac4HLn26PAvTc3VuyazT3NLU6foxsb3ax&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,,4.6,Il-Qrendi,Malta,https://heritagemalta.mt/explore/hagar-qim-mnajdra-temples/,"Triq Hagar Qim, Il-Qrendi QRD 2501, Malta"
Badshahi Mosque,Large Mughal-style mosque built in the 1670s in red sandstone with 4 towering minarets.,"31.587939,74.3094357",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJsd4Nv50cGTkR3pC0D7HNvxM/photos/AWYs27xzqamSrJkCuxrHqeqaMVcQSqTyDVh7NAPCNxspBd1DfxYVt7JAFHsUHFp_MIph6MRwvAs5gBd2lJ70IygKThEahb6fl_MZRcRjYN1TF4ghXDZFIz119uObOLRc8hnUbUQm2pH73FZyCcT8_v3AlKNwB7AbSrzeB8Oz&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Mosque,4.8,Lahore,Pakistan,,"Badshahi Mosque, Fort Rd, Walled City of Lahore, Lahore, Punjab 54000, Pakistan"
Cape Coast Castle,Museum housed in a European-built waterfront castle used in the trans-Atlantic slave trade.,"5.103646599999999,-1.2410603999999998",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJZ9haelL-3Q8RItrirlfbyKY/photos/AWYs27wAJPMmy3om434Bs277A6PLJEGK-5fhZ0a3I399Y0VURbo8AbOAKiB7mNAVQX0SfIcQvUiVW-cDragngCqL1lI7G9Ps2IsLK03L-ayiIRKwlcUHFdhfKUJ1u2BClhNz4iPgFQ8Pv8rPZzF2bolgxWazwrB9rym5A5cI&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.5,Cape Coast,Ghana,https://gmmb.gov.gh/cape-coast-castle-cape-coast-1653/,"Victoria Rd, Cape Coast, Ghana"
Whakarewarewa - The Living Maori Village,"Cultural attraction with Maori dance performances, a traditional feast & geothermal features.","-38.161131,176.256495",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJl8Ab_FcnbG0R1_iMCn7Y7JM/photos/AWYs27z9S2eErKhbzOVUgLXVLzulHunkl8pG-I2uOh_bZ6Ujp8Fu96DjGDB98EOzblPq9RDnA2tpq9TMjsQgzhjKzHQsS63n9715IwpFuaPkCJbcdzE-EFYqwh9ym_XfMUfqCmj0Wdl51nPL4NaBNjm2gAyeSk3eSXOVeEHT&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Tourist Attraction,4.5,Rotorua,New Zealand,http://www.whakarewarewa.com/,"17 Tryon Street, Whakarewarewa, Rotorua 3010, New Zealand"
Great Ziggurat of Ur,"Monumental place of worship built for a Bronze Age Sumerian king, often restored over 4,000 years.","30.962754800000003,46.1031778",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJaeKwvAQP3j8RZqrWIynmwjw/photos/AWYs27xv-rWHYSsggCtg2No9bQsTMpvy0fHdjlFvehl6jN-Oj5jOkRSDibC_I3Fk2xjlV2xeVvWCSO8egojL-6XxKbrLcSi2lIbPm6K6l-DKtC7iuOJBss49B9vFNk92_x3-TiKqS0euIepjahM-Fncio2HFpVXRqq-0g2Aw&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.5,Nasiriyah,Iraq,,"X473+473, Nasiriyah, Dhi Qar Governorate, Iraq"
Baobab Amoureux,,"-20.211465399999998,44.4001644",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ_4OrTgcqXx8RnuVjoD15SN0/photos/AWYs27wrLBYh_sJ7eKhh-Bx7HTsIlm6iAxBG6f5Y6AYPR4VVgC-KtWmjRC7OTWT9IpihGDZ_mKF8gTZYRXwnaxzJf2R9VuxjAuhdSkOqapacw1aToWxXeFBS2mjz44F1ovSqgntG4_Tdyi3xi42JiDvPUBpuBh5WpVwPo-LI&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Tourist Attraction,4.3,Andriamena,Madagascar,,"Unnamed Road, QCQ2+C37, Andriamena, Madagascar"
Giant's Causeway,Basalt columns jut upwards out of the sea at this iconic landform with a modern visitor's centre.,"55.2408073,-6.5115554",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJD48V9EQpYEgR0h_eGaCMIvM/photos/AWYs27zhDtKhvOyyGMXioDxTq8Cfp0jDi0WV_pOcdppDQb5na8QxpywxMP28gRN0cXh4bGZtkPL6yYy5AQKXqCuUPBwKf6w1UxXBAQAXGvvomNxi9JNUmQVZ4o_AjHTNtun7AWBzfSneNpvnucs3VoCtzeYUmixAPTdtOsS8&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Park,4.7,Northern Ireland,United Kingdom,https://www.nationaltrust.org.uk/giants-causeway,"Bushmills BT57 8SU, UK"
Amber Palace,"Structure known as both Amer and Amber, with Hindu & Muslim elements & offering elephant rides.","26.9854865,75.8513454",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ-w3Sy1qwbTkRK34UR2ffIWI/photos/AWYs27wRrKDZ1k09H-dIexMoMkpgvDvYKhxYiBJ3X6M9aEhLG9Sr6xAI0tS63CW7vNBCya0vBXtj419Sli7Au-3WGmkKlo_mNCFW9RuO4NKliaeFGQj2kCsLWLQySBE_oq_AWjhOjm5Z-BM9s5aDU-3lJ9fK2xFQ85bA7Xjj&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Place,4.6,Jaipur,India,https://tourist.rajasthan.gov.in/#/sitedetail,"Devisinghpura, Amer, Jaipur, Rajasthan 302001, India"
Meteora,"6 Eastern Orthodox monasteries listed as a World Heritage site, built on top of rock pillars.","39.7217044,21.6305896",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJOX8y6K4PWRMR_zK82NStJ3E/photos/AWYs27wYkYruK1z6Kh1vSXqtg6i4OILqCQjRsDSsNvOA_lBNg1V2SFAlBz4FZJMB36kYbEOXOm1Y6f4luaYaSKDdU6I7Iu0QqJPRnY_RU7Cjh9rpJWS1fgs1vVubBbhznQlZUPIN2r2q67y-XihMBli8x8UecechLiHIXRux&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Place of Worship,4.9,,Greece,,"Kalabaka 422 00, Greece"
Mount Nemrut,Landmark mountain with limestone statues of Greek & Iranian gods set around an ancient royal tomb.,"37.980311,38.739990399999996",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ2UwjMBj_dUARI6DQF7yPkfA/photos/AWYs27yuKY7jA3jwPlLNoio1Z3N5I43juSzd9VkPlCCCLejeIHuG45RqFnxi4gQQMrBwYlvgjMFdue6iI6yZIfkS68HiH8sNM4cFY6Yke4AyloqUTXWjxYqgO-ehlN0TcYbgLD_eWUksI4TnzSSVrscxNZiJLDj3c_J14zkt&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.8,Adıyaman,Türkiye,https://kvmgm.ktb.gov.tr/TR-44428/nemrut-dagi-adiyaman---kahta.html,"Gülveren, Nemrut Dağı Yolu, 02000 Karadut/Kâhta/Adıyaman, Türkiye"
Everglades National Park,"Tropical wetlands offering up-close views of gators, crocs, birds & more, plus a 2-hour tram tour.","25.2866155,-80.89865089999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ2wVsejCo0IgRlzEvdlY-4A8/photos/AWYs27ydCcN2n3auXJOKAaLg1EjpafhyVHAk-20wBKY2v4GikjfMzD7LB-8WyoB5Ds-LKu_svOHEw7mqbaiYxZDq1xunV28Gx3kcvgpD2PzixK5NYVBftkwk39TWXl47cZ42T6fBvPCsHe6ucx0jZV4gxYXiesED2dfPdL6A&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,National Park,4.6,Florida,United States,https://www.nps.gov/ever/index.htm,"Florida, USA"
Archaeological site of Mycenae,"Greek archaeological site from around the 12th century BC with acropolis, palace & tomb remains.","37.7308631,22.7561327",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJWQuO2mYCoBQR93EvEfaDqGI/photos/AWYs27z2MxLmfU_UiyNB51vjKUvsk2q459tk8GrieOfItwOVal1doHz4xedXh8l8rvuzhtLw3R4Ho3Y_0SZpWL7gXLRmJyCFkCJ-Qs3ezakNI-S1SMIDkusfCCRuJDr6jH1brF25K1ecDieWd9m9i_xfBepsNLnLkph-Dn8&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,,4.7,Mykines,Greece,http://odysseus.culture.gr/h/3/gh351.jsp?obj_id=2573,"Mykines 212 00, Greece"
Canterbury Cathedral,"Norman-built, CofE place of worship with organ recitals, Medieval stained glass and a vast library.","51.279797099999996,1.0827997999999999",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ2YURpUrK3kcRFknZYj6hztU/photos/AWYs27z0tiYQZEyk9bPjTRv4QzK5g7jDFqrKfuv5l_38q5ZdZOQ-bxv-vvlyMaopPR4Rx4bMxKkNOw2p_8Ye_28qcNBy0u-vFrROCt17dwLBI69GnLecpzWgOVtYWLOG0d8S06ZdHGF8NZTrlIBnSbNY1wUGlXSmIJx-p2_R&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Church,4.6,England,United Kingdom,https://www.canterbury-cathedral.org/,"Cathedral House, 11 The Precincts, Canterbury CT1 2EH, UK"
Welcome to Fabulous Las Vegas Sign,Iconic 1950s neon sign & popular photo op marking the southern end of the Las Vegas Strip.,"36.0820727,-115.17277899999998",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJO2gyiTTRyIARCZO92id6AkI/photos/AWYs27yjEn7zm_QerBkZUE57kEBadRESVfl2OLQXH9Wqiq7RndkT8ORvWT-JV-VHBSGMcVOHcmYWlh9keiZUEg-GM8Qs8srw0AGz4P-hSM7VzDf_omXy38M1Wwb0iVBkDT6F5wjAxmw5u8AkgeORfJNVZooJZFj_HmdSgJ6O&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Tourist Attraction,4.6,Las Vegas,United States,,"5100 Las Vegas Blvd S, Las Vegas, NV 89119, USA"
Krak des Chevaliers,"Hilltop crusader castle known for its commanding views, medieval frescoes & imposing architecture.","34.7568184,36.294681",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJ6ypU72-2IxURWaTSTTLOnuA/photos/AWYs27zkfomfddoWhnNXSZk4rlUyUYHsaKlYPW3sW94jf6DcRtbyZ9p29Tajq0-yEqjpFqw1PscpSs9uJ9TLCEYejfjHXypOLhRONB8yvnefuL6Ynh8iMuJC6q5xOrrjB29qMO90PHQ2EO1Apo14HYHj5mkVzqVOqpXe8uWw&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Place,4.6,al-Husn,Syria,,"Q74V+PVF, al-Husn, Syria"
Archaeological Site of Nea Paphos,"Big archaeological area featuring ruins such as tombs, villas & a fortress, plus Roman mosaics.","34.7560431,32.408471399999996",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJS3bgNNoG5xQRQnwjgVPRLsg/photos/AWYs27zkBDjSAPO0Fv3VFTBfqdlwkjmZFUHjmx6XHs91u-fjyp-8sjsZiptOQ9CkY_pRFmJn39TQ-MY9ENyzny1aUHZnQtZ4ixWdV8ojk1PZmavJUhfhxBx-p_O3LdO3_VW6sfv7W_0LlZmSpUQyrL8YFJPAwqnPDz08N6h0&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Historical Landmark,4.6,Paphos,Cyprus,,"QC45+C99, Paphos 8040, Cyprus"
Marienplatz,"City-center square & transport hub with towering St. Peter's church, 2 town halls & a toy museum.","48.1373932,11.5754485",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=places/ChIJLWM3jSROqEcRswsOX7NRrd4/photos/AWYs27zwDzTINf9cf1AyaBUrk7uO-pghHQ7bhSs7caYLmNSLNjoEhrzsHLdTBIaDy9_PM9rXpYOm4Mg6H0StXt8NQJY0W904eIlv_H3bxE_UlxllVvLI2tUA8rUFTFfVUfbkwtkQZQsq9--FFgcIgJEmd8GhtUGTTAq6mc4C&key=AIzaSyCBS71O03OLWTYZEtzgrUNQxipz2liHDsE,Plaza,4.7,München,Germany,https://www.muenchen.de/sehenswuerdigkeiten/orte/120347.html,"Marienplatz, 80331 München, Germany"
