name,description,coordinates,image_url,category,country,city,address,rating,price,website
Memorial and Museum Auschwitz-Birkenau,OPERATIONAL,"50.0293909,19.2054949",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27ydM62ddNc-gX--LeUPArvN0-OmC1t9hgIMQ9igHgt9OGqvtQvBv5CfUjyclE2Oitbrt1_dL0xmJ7NwdsqWRBE1cjPFFH91Q3SfrhynnE6mEy2tuE-divSM2Q5x0qE_PyVsnhE92Lssd8D524TXHS2sCoc7cMQDsN7IvMc3IyGcTJ6O&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, museum, point_of_interest, establishment",Poland,Więźniów Oświęcimia 55,"Więźniów Oświęcimia 55, 32-600 Oświęcim, Poland",4.8,,
Kamakura Daibutsu,OPERATIONAL,"35.3168807,139.5357475",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xc1raXJU_VGZV12CdvRfo8p95q5vO6S34DZO3p9OzDOpsxlDFVWtx5JicTcQZIZ6UaxPe6uBc8zcmEQKy362xurelZ8zEG4Cnk9Fw-UUC2BPXEYm7mtzqIyMJjROr51iVUzPHZ8wR3mxiSnwUtSedcrr9oDOvvb0yodcM-0dtRTXc&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"place_of_worship, point_of_interest, establishment",Japan,Kamakura,"4 Chome-2 Hase, Kamakura, Kanagawa 248-0016, Japan",4.4,,
Palace of Versailles,OPERATIONAL,"48.8048649,2.1203554",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27xFTZDbaceW1HLgMFBmM2qAhUTLHjA5GYAIdVPWRO926G1f5N80fNmVe4BZfR-ODMH05CmpsvUCyaGZf00kWRcK339SpaZN0JtvpK2qY12eztRYnXWtPgYXBPOpcA_J64xQLJuFDgKdzP2eEhV58PXn7JqF4qIfSaumkBXCHisKHj4j&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, museum, point_of_interest, establishment",France,Place d'Armes,"Place d'Armes, 78000 Versailles, France",4.6,,
Cape of Good Hope,OPERATIONAL,"-34.3568425,18.4739882",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27x1GgHYiA_WFLvdsYidiltEve3_D4Xxe9U1LxUhJ-AzDOS60Ls63lPixCPc-wA4L0n0h7nowclT1LjAr7dLRnptxrOVt6TXRdRPHqh5kb-uNPS44rwMJ36CL2dRuv2XOB7K96Uvd1Q5ldCyJxArfryG9FVclq_BdfWSXRC8sxbCr2hL&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, park, point_of_interest, establishment",South Africa,Cape Town,"Cape Point Rd, Cape Town, 8001, South Africa",4.7,,
Trevi Fountain,OPERATIONAL,"41.9009325,12.483313",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yzl_QOfobbq1NLX2dhjEVafKYasAbCZqCHL5YyFDItYIpumsWmTIBDnPzTCy2wcz8bKXuIIGY3MZ9eHozOxbWk611oB8spIXEAKejuu2UJp1ipZK4sdaklZa5AllCYRDb3GR-5oviDEqN_r1Zq_C6tQnpWhQ_reby5FaryMxBJoawY&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, park, point_of_interest, establishment",Italy,Piazza di Trevi,"Piazza di Trevi, 00187 Roma RM, Italy",4.7,,
Petra,OPERATIONAL,"30.3284544,35.4443622",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zO_fYyu3EP3DHr0Zv6mtgPw5ImYzKl-09xcgPfKNdi61HQFsHxiJpFIUxo_14RSfARZY2HW1SqOdpwWrE7QeM9XY5N_ZOy3Z9jAI3Rqzrz9gWviROYy9jY0-F8rj-HcEUUoK5utnQYAUJ6wW7GcfqTX1pCGB9VwVy40WWfTbXXd4dZ&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Jordan,,Jordan,4.8,,
Basílica de la Sagrada Família,OPERATIONAL,"41.4036299,2.1743558",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yZoSt9wFwrXZ9M0pC7OVI_JUhB1mcnA3PrwVyOjiQL48CiCLeq_J2PHV6Qqh0IKxwroKPuqOSBAPoXs2UfksMjCh26WcKQfSXf3bHNmYJ96ACSq8MCXdvCgtWigKg8jJibOEtAPKrv2hGshVPi58asQbN-TyhZP1pOTfRCYwiL7BxU&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, church, place_of_worship, point_of_interest, establishment",Spain,Eixample,"Eixample, 08013 Barcelona, Spain",4.8,,
North Cape,OPERATIONAL,"71.1709533,25.7836599",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yk1yBf7fFQ6DjEttwnVViGKcXa5s0efq8lWXviO0_CnsWRfZpi4TpEaAT_IhYFqoFkYzoiyvQz1Y8J4AITCip5-AcB4XpNZnjMqlfW1Ffu_ZPex5GDCR50OQSizd5jA5K1xdMnn6D0y9Ff8yxaQiI8xJECOqRvDBGZBRrrj2stE43W&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, landmark, point_of_interest, establishment",Norway,,"9764 Nordkapp, Norway",4.7,,
Chichén Itzá,OPERATIONAL,"20.6842849,-88.5677826",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27zMp-E2RZpiO3Nenx0G6wj6WFw_l9fKvVbmr4msbH0McECUF3MVuMlulKxvba-mVwYAVQ4mBDpjWN0mHK44bSzo4g1wu0mRtMaktSyFX4PQKTk-NDWSIh69Fet1-ANc4KpmGNyxn892BXuzfVA7NnVTstfoSQ-akGwwEDGChyIfZXez&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",Mexico,,"97751 Yucatan, Mexico",4.8,,
Inukshuk ᐃᓄᒃᓱᒃ,OPERATIONAL,"62.81181249999999,-92.0876425",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27x1bE9mEzJV1HOwZgzRskDJG7bLCRyuGXzmqh__GuwvEPvN-Ieth-cI7-a-opGyHMacLa1x5YODh425LuSOLkqbf7kLqk2c9flV_myyYQah9eose5kEcnYjoSoK-u1zF2vVysk_a3eseyYPzMaAs4I2ZMlY7Nyy3JUEBW6EE1vnCKw3&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"point_of_interest, establishment",Canada,Rankin Inlet,"Rankin Inlet, NU X0C 0A1, Canada",4.5,,
Lascaux International Center of Parietal Art,OPERATIONAL,"45.0582103,1.1697114",https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AWYs27yIqucXeHfKwOUtj9ck00LD_Zu8WqsQSz9yg_yZkg2blBsdxyI5r2CRpSt-F6XGpOX1tpCO4j1ZvV_2UCOYbfrNZnfGay4KgmvoZ0cDH8pzTYznR3bRHSqlsCwYpcJo-PnHjNoV0OMN7VJZzr1dsU0twKhVRb-j4Bc47aKH8BiqXLow&key=AIzaSyBPAYnZHmlJnpMf-LfO8WEvsC2b7p_l_Z8,"tourist_attraction, point_of_interest, establishment",France,Avenue de Lascaux,"Avenue de Lascaux, 24290 Montignac-Lascaux, France",4.4,,
